一	aeda
业	ces
丨	zaxs
丬	zwde
丶	eawda
丿	zaea
乛	caee
亠	xdxe
人	zede
儿	eze
兀	cxs
八	www
冂	saddaw
冖	das
冫	wadaw
几	saa
凵	zawda
刀	ewdw
力	sas
勹	wwdw
匕	waa
匚	ewdaw
十	zaae
卜	wxa
卤	sxa
卩	saee
厂	wawdaa
厶	zaw
又	cdxs
口	sdxa
囗	ceae
土	xxa
夂	caaa
夕	caw
大	ews
女	dxa
子	caa
宀	dawde
寸	wxds
小	cawda
尸	zaaw
屮	waes
山	zawdw
巛	waxwdw
工	addaw
己	saa
巾	sadw
干	awds
幺	cwdw
广	axwdaa
廴	cada
廾	addaa
弋	cas
弓	addaw
彐	sas
彡	zawdw
彳	waas
心	cadw
戈	aew
户	axs
手	zadxa
支	caaw
攵	zxw
文	cede
斗	edxs
斤	sadw
方	ewdaw
无	cxe
日	zas
月	cxes
木	dxs
欠	zawds
止	caaa
歹	ewaa
殳	zaxw
母	dxa
比	waa
毛	dwde
氏	zaas
气	zas
水	zaxaa
火	axda
爪	caxwa
父	exs
片	zawds
牙	cwe
牛	daxe
犬	zxwda
王	cwdae
瓜	axww
瓦	cwa
甘	awdw
生	zaedaw
田	xawde
疋	cwa
疒	des
癶	wdw
白	wwae
皮	zae
皿	dada
目	dxs
矛	dwde
矢	zaaa
石	zaae
示	zaas
禾	aee
穴	cxee
立	sas
竹	caxe
米	daa
纟	zaw
缶	edxa
罒	cwdaa
羊	cwdae
羽	cxa
老	swda
而	eze
耒	seaa
耳	eza
聿	cxs
肉	zdxs
臣	waede
自	cas
至	caas
臼	saxs
舌	zaee
舟	cadxw
艮	aeds
色	zes
艹	wwda
虍	axw
虫	waddae
血	caea
衣	caw
西	caw
见	sawds
角	sawda
言	cwde
谷	axa
豆	edxs
豕	zaaa
豸	caas
贝	weas
赤	waas
走	cdxa
足	cxe
身	zaedw
车	waew
辛	cadw
辰	waede
辶	waxds
邑	cas
酉	cdxa
采	wwaa
里	saa
金	sadw
长	wawdae
门	dede
阜	exs
隶	sas
隹	caxaw
雨	cxa
青	zadaw
非	eeaw
面	dawds
革	aee
韦	ceae
韭	saxa
音	cadw
页	ces
风	eedaw
飞	eeaw
食	zaae
首	zadxa
香	cawdaw
马	dwa
骨	axa
高	awdw
髟	wawdw
鬥	edxs
鬲	aee
鬼	axaa
鱼	cxe
鸟	dawda
鹿	sxs
麦	dwas
麻	dwe
黄	axwdae
黍	zaxa
黑	aeaw
黾	dada
鼎	eadaa
鼓	axa
鼠	zaxa
鼻	wae
齐	zae
齿	waaa
龙	sddae
龟	axaw
龠	cxes
龺	caxde
