b	家
ba	八
bo	分 B b
be	空
bi	必
bu	实
b;	公
b,	定
b.	本
b/	比
p	想
pa	木
po	样 P p
pe	机
pi	皮
pu	相
p;	校
m	些
ma	马
mo	末 M m
me	么
mi	验
mu	目
m;	免
m,	北
m.	黑
m/	水
f	中
fa	品
fo	口 F f
fe	非
fi	吧
fu	夫
f;	反
f,	方
f.	吃
f/	跟
d	也
da	大
do	为 D d
de	还
di	面
du	着
d;	得
d,	很
d.	前
d/	东
t	去
ta	它
to	几 T t
te	场
ti	地
tu	土
t;	田
t,	男
t.	起
t/	同
n	看
na	手
no	接 N n
ne	内
ni	打
n;	年
n,	网
n.	用
n/	国
l	你
la	六
lo	老 L l
le	他
li	意
lu	那
l;	子
l,	作
l.	部
l/	另
g	问
ga	质
go	之 G g
ge	个
gi	后
gu	所
g;	干
g,	广
g.	度
g/	共
k	到
ka	卡
ko	天 K k
ke	一
ki	开
ku	法
k;	来
k,	没
k.	两
k/	事
h	生
ha	山
ho	火 H h
he	回
hi	先
hu	程
h;	点
h,	自
h.	业
h/	种
j	说
ja	甲
jo	角 J j
je	多
ji	就
ju	句
j;	见
j,	发
j.	金
j/	京
q	有
qa	切
qo	友 Q q
qe	错
qi	七
qu	曲
q;	全
q,	存
q.	左
q/	钱
x	好
xa	下
xo	小 X x
xi	西
xu	要
x;	她
x,	向
x.	工
x/	兄
z	答
za	制
zo	早 Z z
ze	等
zi	只
zu	第
z;	爱
z,	长
z.	真
z/	受
c	过
ca	感
co	刀 C c
ci	才
cu	出
c;	成
c,	原
c.	其
c/	期
s	都
sa	者
so	儿 S s
se	当
si	十
su	学
s;	三
s,	上
s.	性
s/	考
r	会
ra	肉
ro	最 R r
re	电
ri	日
ru	时
r;	从
r,	题
r.	人
r/	明
v	对
va	线 A a
vo	又 O o
ve	专 E e
vi	二 I i
vu	经 U u
v;	给 V v
v,	进
v.	结
v/	动
w	这
wa	变
wo	言 W w
we	未
wi	高
wu	无
w;	理
w,	王
w.	文
w/	主
y	能
ya	由
yo	重 Y y
ye	月
yi	已
yu	与
y;	服
bb	毕
bm	疤
bf	宫
bd	军
bt	疯
bn	宜
bl	字
bk	病
bh	赛
bj	察
bq	宠
bx	案
bz	疑
bc	宽
bs	害
br	寓
bv	完
bw	客
by	爸
pb	松
pp	楚
pm	朴
pd	楼
pt	桂
pn	极
pl	李
pg	述
pk	槽
ph	桃
pj	概
px	杠
pz	梅
pc	模
ps	构
pr	查
pv	标
pw	格
py	桥
mb	瞎
mm	步
mf	驶
md	骑
mt	默
ml	勉
mg	骗
mk	驱
mh	睡
mj	罗
mz	瞬
mc	龄
ms	置
mv	背
mw	驻
my	幽
fb	哔
fm	路
ff	器
fd	辈
ft	喂
fn	员
fl	哪
fg	听
fk	号
fh	呼
fj	哈
fq	呀
fx	吵
fz	族
fc	喊
fs	贵
fr	啥
fv	啊
fw	咯
fy	蛇
db	资
dp	数
dm	装
df	总
dd	道
dt	待
dn	而
dl	准
dg	态
dk	关
dh	微
dj	净
dq	彻
dx	律
dz	御
dc	减
ds	转
dr	单
dv	行
dw	美
dy	後
tp	栽
tm	盐
tf	袁
td	增
tt	封
tn	圾
tl	境
tg	塘
tk	域
th	赫
tj	埋
tz	越
tc	城
ts	均
tr	界
tv	坛
tw	略
ty	却
nb	指
np	困
nm	把
nf	操
nd	因
nt	持
nn	拥
nl	推
ng	据
nk	摄
nh	拍
nj	换
nq	拔
nx	抄
nz	授
nc	团
ns	求
nr	提
nv	择
nw	图
ny	找
lb	华
lm	修
lf	保
ld	书
lt	佳
ln	孩
ll	位
lg	通
lk	新
lh	加
lj	似
lq	优
lx	低
lz	伤
lc	颜
ls	做
lr	但
lv	买
lw	住
ly	效
gb	屁
gp	麻
gm	爬
gf	强
gd	弹
gt	鞋
gn	间
gl	局
gg	房
gk	屋
gh	店
gj	废
gq	费
gx	近
gc	席
gs	应
gr	刷
gv	层
gw	弦
gy	黄
kb	深
kp	婆
km	政
kf	可
kd	平
kt	画
kn	再
kl	汤
kg	派
kk	河
kh	活
kj	互
kq	遭
kx	式
kz	海
kc	满
ks	带
kr	更
kv	清
kw	流
ky	区
hb	崇
hp	科
hm	息
hf	战
hd	乎
ht	选
hn	物
hl	杂
hg	乏
hk	灯
hh	虚
hj	岁
hq	身
hx	炒
hz	炸
hc	岸
hs	片
hr	邀
hv	追
hw	峰
hy	系
jb	谐
jp	途
jm	色
jf	拿
jd	被
jt	谓
jn	调
jl	母
jg	以
jk	试
jh	话
jj	够
jq	既
jx	语
jz	许
jc	解
js	读
jr	课
jv	然
jw	该
jy	诶
qb	龙
qm	牙
qf	钟
qd	链
qt	铅
qn	钢
ql	镜
qk	铺
qh	铁
qj	尤
qq	郁
qx	键
qs	销
qr	铃
qv	氢
qw	锋
qy	雄
xb	嫁
xm	肃
xf	娱
xd	嫌
xt	娃
xn	建
xl	五
xg	娘
xk	功
xh	群
xj	辩
xx	婚
xc	媒
xs	姑
xr	巫
xv	配
xw	婷
xy	始
zb	管
zp	彩
zm	算
zf	喜
zd	知
zl	符
zg	简
zk	策
zh	缺
zj	每
zq	笼
zx	筑
zz	遥
zc	貌
zs	舞
zr	复
zv	款
zy	笔
cb	营
cp	厢
cm	萝
cf	咸
cd	顺
ct	压
cn	英
cl	历
cg	芝
ck	世
ch	愿
cj	警
cq	荐
cx	威
cz	菜
cc	藏
cs	基
cr	幕
cv	某
cw	荒
cy	董
sb	索
sp	耗
sm	艳
sf	常
sd	怀
st	怯
sn	直
sl	快
sg	惜
sk	民
sh	怕
sj	惯
sq	教
sx	叔
sz	朝
sc	懂
ss	愤
sr	慢
sv	情
sw	忙
sy	惨
rb	晕
rp	颗
rm	曼
rd	伞
rn	遇
rl	领
rg	暴
rk	量
rh	星
rj	影
rz	暖
rc	照
rs	易
rr	众
rv	晴
rw	禽
ry	盟
vb	院
vm	武
vd	阵
vt	陵
vn	责
vl	难
vk	级
vh	表
vj	除
vq	随
vx	避
vz	临
vc	怼
vs	远
vr	阶
vv	际
vw	降
vy	运
wb	亮
wp	琳
wm	处
wf	衷
wd	班
wt	惫
wn	球
wl	务
wg	瑕
wh	衣
wj	望
wz	瑶
wc	琪
ws	逢
wr	珍
wv	玩
ww	琴
wy	离
yb	脂
yp	霜
ym	肥
yf	露
yd	参
yt	脚
yl	幼
yg	划
yk	腻
yh	胜
yj	脸
yq	希
yx	腰
yz	腹
yc	震
ys	胸
yr	零
yw	脑
yy	胎
bbf	蜜
bbl	穷
bbh	究
bbq	穿
bld	宿
blg	痛
bkf	富
bkr	宣
bky	室
bhb	寒
bhj	农
bjm	瘦
bsm	割
bvs	冠
bwf	额
byj	爹
ppj	梦
ppv	禁
